,,,,,,,,,,,,,,,,
,Plan,Semestre,Tipo,Código,Asignatura,Sección,Tope,Aula,Docente,Nº DE HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SÁBADO
,2018,Ciclo 7,O,CFO702,FISICA ELECTRONICA II - LABORATORIO,U,25,111,GILBERTO YACTAYO YACTAYO  (L),4,,,17-21,,,
,2018,Ciclo 7,O,CFO703,MECANICA CUANTICA II - TEORÍA,U,25,217,PABLO HÉCTOR RIVERA RIOFANO (T),4,,,14-15,,14-17,
,2018,Ciclo 7,O,CFO703,MECANICA CUANTICA II - PRÁCTICA,U,25,217,PABLO HÉCTOR RIVERA RIOFANO (P),2,,,15-17,,,
,2018,Ciclo 7,O,CFO704,FISICA ESTADISTICA I - TEORÍA,U,25,217,ROBERT GUZMÁN ARELLANO(T),3,,17-20,,,,
,2018,Ciclo 7,O,CFO704,FISICA ESTADISTICA I - PRÁCTICA,U,25,217,ROBERT GUZMÁN ARELLANO (P),2,,,,17-19,,
,2018,Ciclo 7,O,CFO705,REDACCION Y METODOLOGIA CIENTIFICA - TEORÍA,U,25,111,CESAR JIMENEZ TINTAYA (T),2,,,,08-10,,
,2018,Ciclo 7,O,CFO705,REDACCION Y METODOLOGIA CIENTIFICA - PRÁCTICA,U,25,111,CESAR JIMENEZ TINTAYA (P),2,08-10,,,,,
,2018,Ciclo 9,O,CFO701,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - TEORÍA,U,25,313,CHACHI ROJAS AYALA (T),2,19-21,,,,,
,2018,Ciclo 9,O,CFO701,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - PRÁCTICA,U,25,315,CHACHI ROJAS AYALA (P),2,,,,,   18-20,
,2018,Ciclo 9,O,CFO702,TRABAJO DE GRADO I - TEORÍA,U,25,313,WHAULKUER ENRIQUE LOZANO BARTRA (T),3,10-13,,,,,
,2018,Ciclo 9,O,CFO702,TRABAJO DE GRADO I - PRÁCTICA,U,25,313,WHUARKUER ENRIQUE LOZANO BARTRA (P),4,,,10-14,,,
,2018,Ciclo 9,O,CFO703,FILOSOFIA E HISTORIA DE LA CIENCIA - TEORÍA,U,25,315,JAIME FRANCISCO VENTO FLORES(T),3,,18-21,,,,
,2018,Ciclo 9,O,CFO703,FILOSOFIA E HISTORIA DE LA CIENCIA - TEORÍA,U,25,315,JAIME FRANCISCO VENTO FLORES(T),0,,,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE907A,ESPECTROSCOPIA DE RAYOS X - TEORÍA,U,25,Laboratorio,ELVIRA LETICIA ZEBALLOS VELÁSQUEZ (T) ,2,,8-10,,,,
